time;from;to;override_message1
8:00;Nora;Bob;Hey, {name}, can you hear me from the tower?
8:30;Andy;CEO;I can see you, {name}, do you read me?
9:00;RANDOM;RANDOM;
9:22;RANDOM;RANDOM;
10:00;Fred;Andy;I got no more work, {name}, let's play a game!
10:30;RANDOM;RANDOM;
11:00;RANDOM;RANDOM;
11:00;RANDOM;RANDOM;
11:00;RANDOM;RANDOM;
11:45;RANDOM;RANDOM;
13:00;RANDOM;RANDOM;
13:30;RANDOM;RANDOM;
13:33;RANDOM;RANDOM;
13:59;RANDOM;RANDOM;
14:03;RANDOM;RANDOM;
14:33;RANDOM;RANDOM;
14:43;RANDOM;RANDOM;
15:00;RANDOM;RANDOM;
15:07;Xena;RANDOM;
15:17;RANDOM;Xena;
15:31;RANDOM;RANDOM;
15:32;RANDOM;RANDOM;
15:45;Xena;RANDOM;
16:00;RANDOM;RANDOM;
16:21;RANDOM;RANDOM;
16:33;RANDOM;Xena;
